Series,Ljung-Box Statistic,p-value
EU27_Emp,0.27238104881910297,0.9915266003171634
NonEU_Emp,0.0686296233538069,0.9994245437449715
NonUK_Born_Emp,0.09702264098379264,0.9988606971534258
