,count,mean,std,min,25%,50%,75%,max
Year,505.0,2024.2,1.1,2021.0,2024.0,2025.0,2025.0,2026.0
Visa_Grants,505.0,318.69,2527.27,1.0,1.0,3.0,13.0,33122.0
